NumNodes;Value;Err
2;1.976;0.27142399999999994
3;3.898;0.09159599999999954
4;1.0;0.0
5;0.206;0.163564
6;3.0;0.0
7;1.447;0.24719099999999974
8;7.0;0.0
9;2.0;0.0
10;1.787;0.1676310000000003
11;1.912;0.08025600000000012
12;26.567;0.24551100000003406
13;63.0;0.0
14;27.0;0.0
15;93.0;0.0
16;95.0;0.0
17;96.259;0.19191899999979067
18;149.358;0.2298359999973327
19;128.0;0.0
20;307.0;0.0
21;159.0;0.0
22;512.0;0.0
23;384.0;0.0
24;260.0;0.0
25;223.0;0.0
26;772.0;0.0
27;737.0;0.0
28;720.0;0.0
29;844.0;0.0
30;1123.0;0.0
31;1234.0;0.0
32;707.0;0.0
33;1122.637;0.2312310000974685
34;1508.0;0.0
35;1391.0;0.0
